seed,tree_type,workload,n,queries,paint_count,query_count,centroid_build_ms,centroid_run_ms,naive_bfs_run_ms,lca_build_ms,lca_run_ms,speedup_vs_naive,speedup_vs_lca,centroid_memory_bytes,naive_memory_bytes,lca_memory_bytes,checksum
42,random,balanced,2900,50000,7628,42372,6.21,1.775,19.713,0.222,120.859,11.105,68.082,49152,14500,165556,34033
42,random,balanced,3000,50000,7609,42391,6.441,1.71,21.171,0.167,156.166,12.377,91.298,237312,15000,171256,36831
42,random,balanced,3100,50000,7505,42495,6.497,1.819,19.396,0.248,120.229,10.666,66.114,238860,15500,176956,37140
42,random,balanced,3200,50000,7404,42596,3.339,0.818,9.624,0.076,80.464,11.773,98.427,249824,16000,182656,35791
42,random,balanced,3300,50000,7539,42461,4.958,0.812,12.733,0.164,102.308,15.687,126.042,266140,16500,188356,37086
42,random,balanced,3400,50000,7547,42453,3.075,0.804,9.891,0.083,109.533,12.301,136.218,259616,17000,194056,38117
42,random,balanced,3500,50000,7437,42563,6.236,1.732,27.704,0.182,153.874,15.999,88.863,275756,17500,199756,41961
42,random,balanced,3600,50000,7557,42443,8.835,1.037,18.611,0.115,112.178,17.94,108.134,323584,18000,205456,39296
42,random,balanced,3700,50000,7471,42529,7.409,1.735,23.483,0.218,165.595,13.534,95.438,290816,18500,211156,44174
42,random,balanced,3800,50000,7488,42512,7.936,1.481,15.407,0.161,144.485,10.403,97.559,94208,19000,216856,41450
42,random,balanced,3900,50000,7532,42468,5.526,1.073,13.481,0.1,141.812,12.567,132.201,320524,19500,222556,45525
42,random,balanced,4000,50000,7489,42511,4.351,0.835,11.448,0.099,114.095,13.713,136.674,314448,20000,228256,44771
42,random,balanced,4100,50000,7558,42442,12.883,1.872,20.982,0.13,167.077,11.211,89.269,328428,20500,250356,44797
42,random,balanced,4200,50000,7510,42490,7.98,1.583,16.475,0.238,123.399,10.405,77.933,338280,21000,256456,47147
42,random,balanced,4300,50000,7427,42573,4.036,0.859,12.237,0.11,102.45,14.244,119.252,351252,21500,262812,50565
42,random,balanced,4400,50000,7660,42340,4.306,0.891,11.79,0.11,125.742,13.226,141.061,362704,22000,268912,47273
42,random,balanced,4500,50000,7548,42452,4.339,0.865,19.584,0.232,166.254,22.638,192.179,110592,22500,275012,48623
42,random,balanced,4600,50000,7543,42457,4.189,1.817,18.462,0.144,191.024,10.163,105.16,371560,23000,281112,49700
42,random,balanced,4700,50000,7431,42569,4.655,0.945,11.989,0.121,160.069,12.682,169.332,114688,23500,287212,50620
42,random,balanced,4800,50000,7586,42414,9.803,2.023,26.05,0.247,170.695,12.877,84.377,392664,24000,293312,50240
42,random,balanced,4900,50000,7538,42462,10.468,1.851,28.382,0.43,159.517,15.332,86.169,406212,24500,290816,52800
