tree_type,workload,n,queries,paint_count,query_count,centroid_build_ms,centroid_run_ms,naive_bfs_run_ms,lca_build_ms,lca_run_ms,speedup_vs_naive,speedup_vs_lca,centroid_memory_bytes,naive_memory_bytes,lca_memory_bytes,speedup_vs_naive_mean,centroid_run_ms_mean,naive_bfs_run_ms_mean,speedup_vs_naive_std,centroid_run_ms_std,naive_bfs_run_ms_std
path,balanced,5300,50000,7641.0,42359.0,11.482,2.8,30.912,0.22,264.312,11.228,92.332,554676.0,26500.0,323812.0,12.088333333333333,2.876333333333333,34.57366666666667,2.854454472107294,0.17450596933438514,7.117012317913561
path,balanced,5400,50000,7495.0,42505.0,13.006,2.99,32.587,0.211,266.957,10.556,92.194,566376.0,27000.0,329912.0,10.748666666666665,3.1656666666666666,33.945,0.4417254048991666,0.38852327257621705,3.2744860665454043
path,balanced,5500,50000,7522.0,42478.0,11.288,2.806,32.163,0.214,268.007,11.497,95.383,578076.0,27500.0,336012.0,11.499,2.815,32.372,0.039038442591886456,0.06397655820689335,0.6925698520726992
path,balanced,5600,50000,7420.0,42580.0,12.886,2.834,33.488,0.223,262.949,11.817,90.464,589776.0,28000.0,342112.0,11.605333333333334,3.000666666666667,34.907333333333334,0.5669517910134281,0.32035813292834214,5.096449384947658
path,balanced,5700,50000,7422.0,42578.0,12.311,2.907,37.267,0.228,275.365,11.055,94.725,601476.0,28500.0,348212.0,11.756,3.159333333333333,36.79066666666667,1.43340608342507,0.5507125687083357,4.433732099860495
path,balanced,5800,50000,7553.0,42447.0,12.7,2.768,34.122,0.341,278.469,12.369,99.246,613176.0,29000.0,354312.0,12.493666666666668,3.0026666666666664,37.642,0.4919922086103937,0.41427325925448466,6.705041685179896
path,balanced,5900,50000,7425.0,42575.0,12.394,2.74,33.044,0.224,269.338,11.637,94.303,624876.0,29500.0,360412.0,11.406666666666666,2.898666666666667,32.919,0.7929983186194872,0.28878596457122585,1.1645423993998678
path,balanced,6000,50000,7480.0,42520.0,13.906,3.02,35.779,0.243,284.408,11.847,91.98,636576.0,30000.0,366512.0,13.626666666666665,3.02,37.892,4.322602495410991,1.21,5.672751272530817
path,balanced,6100,50000,7483.0,42517.0,12.47,3.151,34.054,0.249,285.901,11.68,90.742,648276.0,30500.0,372612.0,11.501666666666665,3.156,36.329,0.6239169282311011,0.2585362643808407,4.099042449158094
path,balanced,6200,50000,7518.0,42482.0,13.019,3.048,34.758,0.252,283.809,10.964,93.122,659976.0,31000.0,378712.0,11.836666666666666,3.134,34.705999999999996,3.9185692967374357,0.9499242075028931,1.2658013272231958
path,balanced,6300,50000,7467.0,42533.0,13.129,2.856,34.671,0.248,292.526,12.175,101.426,671676.0,31500.0,384812.0,11.737333333333334,2.9653333333333336,34.67766666666667,0.9457728761882186,0.19633984143146654,0.6850243304681477
